Chrom	Start	End	Bailey	C431	C99R	CC41	CC477	CC812	Florida07	GA12Y	GPNCWS17	Georganic	IAC322	ICG1471	Lariat	Marc1	NC94022	NMVal.1	NMVal.2	TifNV	York
chr01	0	10000	0	117	126	71	0	137	115	4	206	151	0	0	0	112	129	73	0	124	0
chr01	10000	20000	0	2	2	3	0	2	2	2	2	2	0	0	0	2	2	3	0	2	0
chr01	20000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	30000	40000	0	3	2	1	0	2	2	2	2	2	0	0	0	2	2	1	0	2	0
chr01	40000	50000	0	1	1	2	0	1	1	1	1	1	0	0	0	1	1	3	0	1	0
chr01	50000	60000	0	5	5	4	0	4	5	4	5	5	0	0	0	5	4	4	0	5	0
chr01	60000	70000	0	3	3	4	0	3	3	3	3	3	0	0	0	3	3	4	0	4	0
chr01	70000	80000	0	5	5	2	0	5	5	5	5	5	0	0	0	5	5	2	0	5	0
chr01	80000	90000	0	2	2	4	26	12	2	3	2	3	26	24	3	3	3	4	26	2	0
chr01	90000	100000	0	3	3	3	6	7	3	3	3	4	5	6	4	3	3	3	9	3	0
chr01	100000	110000	0	1	1	1	4	1	2	1	1	2	1	4	1	1	1	1	2	1	0
chr01	110000	120000	0	3	3	4	4	3	3	2	3	3	3	4	3	2	1	4	5	3	0
chr01	120000	130000	0	4	4	2	7	4	4	4	4	5	4	7	4	5	4	2	5	4	0
chr01	130000	140000	0	1	1	2	7	1	1	1	1	2	4	6	1	1	1	2	4	1	0
chr01	140000	150000	0	2	2	2	7	2	2	2	2	3	3	7	3	2	2	2	5	2	0
chr01	150000	160000	0	2	2	2	1	2	2	2	2	2	2	1	3	2	2	2	2	2	0
chr01	160000	170000	0	2	2	1	5	2	2	2	2	2	3	5	2	2	2	1	2	2	0
chr01	170000	180000	0	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	4	1	0
chr01	180000	190000	0	4	4	4	7	4	4	4	4	4	5	7	5	4	4	4	8	4	0
chr01	190000	200000	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	6	0	0
chr01	200000	210000	0	1	1	1	4	1	1	1	1	1	2	4	1	1	1	1	5	1	1
chr01	210000	220000	0	4	4	2	3	4	4	4	4	4	8	4	4	4	4	2	7	4	4
chr01	220000	230000	0	1	1	1	3	1	1	1	1	2	4	3	2	2	1	1	2	1	1
chr01	230000	240000	0	3	3	2	3	3	3	4	3	3	2	3	1	3	4	2	4	3	3
chr01	240000	250000	0	2	2	1	0	2	2	2	2	2	1	0	1	2	2	1	2	2	2
chr01	250000	260000	0	2	2	2	1	1	2	1	2	1	2	2	1	0	1	1	4	2	2
chr01	260000	270000	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0
chr01	270000	280000	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	1	3	0	0
chr01	280000	290000	0	1	1	1	5	1	1	1	1	1	2	5	1	1	1	1	3	1	1
chr01	290000	300000	0	2	2	1	4	2	2	2	2	2	2	4	1	2	2	1	2	2	2
chr01	300000	310000	0	1	1	0	5	1	1	1	1	1	1	5	0	1	1	0	6	1	1
chr01	310000	320000	0	5	5	6	11	6	5	6	5	6	5	10	5	6	6	6	13	5	5
chr01	320000	330000	0	4	4	4	7	4	4	4	4	4	3	8	6	4	4	3	7	4	4
chr01	330000	340000	0	1	1	0	1	1	1	1	1	1	0	1	2	1	1	0	3	1	1
chr01	340000	350000	0	1	1	4	2	1	1	1	1	1	0	2	1	1	1	4	1	1	1
chr01	350000	360000	0	1	1	0	3	1	1	1	1	1	1	5	0	1	1	0	12	1	1
chr01	360000	370000	0	3	3	1	1	3	3	3	3	3	3	1	2	3	3	1	2	3	3
chr01	370000	380000	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1
chr01	380000	390000	0	2	2	2	6	2	2	2	2	3	3	7	2	3	2	2	5	2	2
chr01	390000	400000	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0
chr01	400000	410000	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
chr01	410000	420000	0	1	1	0	2	2	1	2	1	1	1	2	1	1	2	0	4	1	1
chr01	420000	430000	0	3	3	1	4	2	3	2	3	2	3	3	2	2	2	1	4	3	3
chr01	430000	440000	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	440000	450000	0	3	3	2	4	3	3	3	3	3	4	6	3	3	3	2	8	3	3
chr01	450000	460000	0	3	3	2	1	4	3	4	3	3	1	1	3	3	4	2	2	3	3
chr01	460000	470000	0	1	1	1	2	2	1	2	1	1	2	2	1	2	2	1	1	1	1
chr01	470000	480000	0	13	13	11	13	13	13	14	13	12	12	13	11	12	14	11	16	13	13
chr01	480000	490000	0	6	6	5	8	6	6	6	6	6	8	8	6	7	6	5	8	6	6
chr01	490000	500000	0	4	4	2	4	4	4	4	4	4	5	4	4	4	4	2	6	4	4
chr01	500000	510000	0	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	3	1	1
chr01	510000	520000	0	2	2	1	8	3	2	3	2	2	1	7	2	3	3	1	7	2	2
chr01	520000	530000	0	2	2	35	3	1	2	1	2	2	2	2	2	1	1	1	3	2	2
chr01	530000	540000	0	4	4	3	3	4	4	5	4	4	2	3	5	4	5	2	3	4	4
chr01	540000	550000	0	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	3	1	1
chr01	550000	560000	0	4	4	3	5	4	4	4	4	4	4	5	5	4	4	3	4	4	4
chr01	560000	570000	0	4	4	1	5	4	4	4	4	4	4	3	3	4	4	1	6	4	4
chr01	570000	580000	0	3	3	2	7	2	3	2	3	2	3	7	1	2	2	2	5	3	3
chr01	580000	590000	0	3	3	2	4	3	3	3	3	3	2	4	3	3	3	2	5	3	3
chr01	590000	600000	0	3	3	2	4	3	3	3	3	3	2	4	2	3	3	2	3	3	3
chr01	600000	610000	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	0
chr01	610000	620000	0	1	1	1	1	1	0	2	1	0	1	1	0	1	1	1	1	1	1
chr01	620000	630000	0	6	6	2	3	5	6	5	6	5	2	3	6	5	5	2	5	6	6
chr01	630000	640000	0	4	4	14	7	4	4	4	4	4	4	7	5	4	4	14	6	4	4
chr01	640000	650000	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
chr01	650000	660000	0	1	1	0	1	1	1	1	1	1	2	1	2	1	1	0	2	1	1
chr01	660000	670000	0	1	1	0	5	1	1	1	1	1	2	4	2	1	1	0	5	1	1
chr01	670000	680000	0	3	3	2	1	3	3	3	3	3	2	4	1	3	3	2	3	3	3
chr01	680000	690000	0	2	2	2	3	2	2	2	2	2	4	5	2	2	2	2	2	2	2
chr01	690000	700000	0	2	2	1	3	2	2	3	2	2	2	3	2	3	2	1	4	2	2
chr01	700000	710000	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	0
chr01	710000	720000	0	3	3	1	4	3	3	3	3	3	1	4	2	3	3	1	5	3	3
chr01	720000	730000	0	2	2	2	7	2	2	2	2	1	3	8	3	2	2	2	6	2	2
chr01	730000	740000	0	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1
chr01	740000	750000	0	2	2	3	5	2	2	2	2	2	3	2	2	2	2	3	4	2	2
chr01	750000	760000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr01	760000	770000	0	1	1	2	4	1	1	1	1	1	2	4	2	1	1	2	2	1	1
chr01	770000	780000	0	5	5	4	6	5	5	5	5	5	4	6	7	5	5	4	6	5	5
chr01	780000	790000	0	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1
chr01	790000	800000	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1
chr01	800000	810000	0	1	1	0	2	1	1	1	1	1	1	2	1	1	1	0	3	1	1
chr01	810000	820000	0	4	4	1	5	3	4	3	4	4	0	5	3	3	3	0	3	4	4
chr01	820000	830000	0	3	3	2	3	2	3	2	3	3	3	4	2	2	2	1	3	3	3
chr01	830000	840000	0	2	2	1	5	3	2	2	2	2	2	5	3	2	3	1	3	2	2
chr01	840000	850000	0	2	2	1	3	3	2	2	2	2	1	3	3	2	2	1	5	2	2
chr01	850000	860000	0	3	3	1	0	3	3	3	3	3	0	0	2	3	3	1	1	3	3
chr01	860000	870000	0	2	2	2	4	2	2	3	2	3	2	4	3	3	3	2	2	2	2
chr01	870000	880000	0	4	4	2	6	4	4	4	4	4	3	6	6	4	4	2	9	4	4
chr01	880000	890000	0	3	3	2	2	3	3	3	3	3	1	2	4	3	3	2	5	3	3
chr01	890000	900000	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	3	0	0
chr01	900000	910000	0	2	2	2	1	2	2	2	2	2	0	1	0	2	2	2	1	2	2
chr01	910000	920000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
chr01	920000	930000	0	3	3	3	4	3	3	3	3	3	5	4	1	3	3	3	4	3	3
chr01	930000	940000	0	3	3	3	2	2	3	2	3	3	2	3	3	3	2	5	2	3	3
chr01	940000	950000	0	3	3	3	4	3	3	3	3	3	2	4	3	3	3	3	4	3	3
chr01	950000	960000	0	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1
chr01	960000	970000	0	1	1	1	3	1	1	1	1	1	2	3	3	1	1	1	4	1	1
chr01	970000	980000	0	2	2	2	7	1	2	3	2	2	2	8	1	2	3	2	6	2	2
chr01	980000	990000	0	4	4	4	2	5	4	5	4	4	2	2	3	4	5	4	4	4	4
chr01	990000	1000000	0	6	6	11	0	6	6	6	6	6	3	0	3	6	6	6	0	6	6
chr01	1000000	1010000	0	6	5	5	2	25	6	3	3	7	5	2	4	4	3	26	5	4	3
chr01	1010000	1020000	0	1	1	1	5	50	1	2	1	1	2	2	2	2	2	1	1	1	1
chr01	1020000	1030000	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
